Org ID,Organisation,Operation Area,Org Type,Org Website,Volunteer URL,Donate URL,IG URL,FB URL,Events URL 1,Events URL 2,Locally-owned,Parent,Description
ORG001,New Romney In Bloom,Romney Marsh,Community Group,https://www.newromney-tc.gov.uk/_VirDir/CoreContents/Organisations/Display.aspx?id=6444,,,https://www.instagram.com/newromneyinbloom?igsh=eGF1ZW5hYmI2cnEy,https://www.facebook.com/groups/1077735526299551/,,,TRUE,,"New Romney in Bloom Community Group was formed to help make the town of New Romney a brighter, more attractive and welcoming place all year round, with floral colour and displays in flower beds, baskets and planters for the benefit and enjoyment of all who live, work and visit here."
ORG002,Sunflower House,Folkestone,Registered Charity,https://sunflowerhouse.org.uk/#gsc.tab=0,https://sunflowerhouse.org.uk/get-involved#gsc.tab=0,,https://www.instagram.com/sunflowerhousefolkestone?igsh=MTEwMDI2dnkxeDhibA==,https://www.facebook.com/folkestonesunflowerhouse/,https://sunflowerhouse.org.uk/whats-on#gsc.tab=0,,TRUE,,"Sunflower House is all about building community – working with partners, creating connections and opportunities, helping people who are going through a tough time."
ORG003,Folkestone Community Fridge,Folkestone,Community Interest Company,https://www.folkestonecommunityfridge.com/,,https://www.spacehive.com/folkestonecommunityfridge,https://www.instagram.com/folkestonecommunityfridge?igsh=NHYyZmVqdHZueWZm,,,,TRUE,,"We are Folkestone Community Fridge CIC (FCF), a non-profit organisation tackling food waste in our local area. Run by a dedicated team of 40+ volunteers we collect perfectly good food that would otherwise be wasted and offer it to our community instead."
ORG004,The Wombles Community,National,Registered Charity,https://thewomblescommunity.com,,,,,,,FALSE,,The Wombles' Community Charity harnesses the unique appeal and powerful message of The Wombles to encourage positive environmental action in local communities and schools across the UK.
ORG005,Hythe Triangle,Hythe,Registered Charity,https://hythetriangle.uk/,,https://hythetriangle.uk/donate,https://www.instagram.com/hythetriangle?igsh=N3YxeXF1dHkxZzFw,https://www.facebook.com/groups/HytheTriangle,,,TRUE,,"Hythe Triangle Community Garden is a registered charity set up to protect, manage and maintain a small parcel of land that is formed at the junction of Windmill Street, Albert Road and St Leonards Road in Hythe, Kent."
ORG006,Folkestone Community Life Drawing,Folkestone,Community Group,,,,https://www.instagram.com/folkestonecommunitylifedrawing?igsh=MW9ycWNhaWV6MzRhcQ==,,https://www.eventbrite.co.uk/o/folkestone-community-life-drawing-112243979131,,TRUE,,Folkestone's free weekly community life drawing
ORG007,Romney Marsh Community Hub,Romney Marsh,Registered Charity,https://rmch.org.uk/,https://rmch.org.uk/volunteer/,https://rmch.org.uk/donate/,https://www.instagram.com/rmch.org.uk?igsh=dTk5bGl1dTZhbzR1,https://www.facebook.com/RomneyMarshCommunityHub,https://rmch.org.uk/whats-on/,,TRUE,,"Our mission is to support improvements to the long-term health, wellbeing and independence of the local population."
ORG009,Sandgate Environmental Action,Sandgate,Community Group,https://www.sandgateenvironmentalaction.co.uk/home,,,https://www.instagram.com/sandgate_environmental_action?igsh=MXRwcTY5YWJicW1sNw==,https://www.facebook.com/sandgateenvironmentalaction,https://www.sandgateenvironmentalaction.co.uk/events,,TRUE,The Sandgate Society,"Sandgate Environmental Action (SEA) is a community action group, set up by The Sandgate Society in 2022 to take positive action to build a sustainable future for Sandgate and to turn the tide on climate change."
ORG010,Folkestone Repairs Together,Folkestone,Community Group,,,,https://www.instagram.com/folkestone_rt?igsh=MXJ0aGJqZ3pkN21heQ==,https://www.facebook.com/people/Folkestone-Repairs-Together/100083422872862/,,,TRUE,,Folkestone Repairs Together host monthly repair café events
ORG011,Sustainable Futures Forum,Folkestone,Community Group,https://sustainablefuturesforum.com/,,,https://www.instagram.com/sustainablefuturesforum?igsh=MXZzNWRzcjA1NG5jNg==,https://www.facebook.com/sustainablefuturesforum/,https://sustainablefuturesforum.com/upcomingevents/,https://www.eventbrite.com/o/sustainable-futures-forum-3219121208?_gl=1*1fc0uqq*_up*MQ..*_ga*NzU1Njk4NDMxLjE3NjY5NjAyNjE.*_ga_TQVES5V6SH*czE3NjY5NjAyNjEkbzEkZzAkdDE3NjY5NjAyNjEkajYwJGwwJGgw,TRUE,,"Our mission is create spaces where local people, groups and businesses can find, develop and take action on their ‘ikigai of sustainability’; the place where your unique skills, passion, experience and purpose can have the biggest impact and benefit both locally and globally."
ORG012,The Life Skills Centre Folkestone Ltd,Folkestone,Private Company,,,,https://www.instagram.com/thelifeskillscentre,https://www.facebook.com/Lifeskillsforever/,,,TRUE,,The Life Skills Centre is a development centre for adults (18 years +) with a learning disability. We are simply the best!
